Test number,Execution time (ms),Clause number,Clause size,Solution,Flips,Tries
1,0.18595901131629944,6,4,"solution found",0,1
2,0.15650799870491028,15,14,"solution found",3,1
3,0.11302700638771057,12,2,"no satisfying assignment found",10,3
4,0.10701499879360199,33,23,"solution found",0,1
5,0.3155139982700348,20,26,"solution found",4,1
6,1.536196008324623,36,4,"no satisfying assignment found",10,3
7,0.18600499629974365,28,16,"solution found",2,1
8,0.17847898602485657,29,53,"solution found",0,1
9,0.30060699582099915,41,65,"solution found",0,1
10,0.08729100227355957,86,93,"solution found",0,1
11,0.045657992362976074,100,45,"solution found",0,1
12,0.017141997814178467,14,43,"solution found",0,1
13,0.012661993503570557,47,19,"solution found",0,1
14,0.02999800443649292,116,20,"solution found",0,1
15,0.022436007857322693,52,34,"solution found",0,1
16,0.05191799998283386,157,28,"solution found",0,1
17,0.07065099477767944,48,127,"solution found",0,1
18,0.05652700364589691,99,53,"solution found",0,1
19,0.03340800106525421,66,45,"solution found",0,1
20,0.0491119921207428,127,35,"solution found",0,1
21,0.1888120025396347,199,105,"solution found",0,1
22,0.024489998817443848,6,141,"solution found",0,1
23,0.047471001744270325,112,43,"solution found",0,1
24,0.025061994791030884,33,47,"solution found",0,1
25,0.2552420049905777,165,187,"solution found",0,1
26,0.06835100054740906,36,169,"solution found",0,1
27,0.38894400000572205,260,186,"solution found",0,1
28,0.14773398637771606,199,91,"solution found",0,1
29,0.3257080018520355,151,281,"solution found",0,1
30,0.19942601025104523,274,90,"solution found",0,1
31,0.07624800503253937,59,131,"solution found",0,1
32,0.36462000012397766,158,12,"no satisfying assignment found",10,3
33,0.318340003490448,159,273,"solution found",0,1
34,0.327224001288414,228,201,"solution found",0,1
35,0.0960489958524704,111,108,"solution found",0,1
36,0.24716798961162567,266,125,"solution found",0,1
37,0.46080000698566437,205,291,"solution found",0,1
38,0.077690988779068,13,371,"solution found",0,1
39,0.06024301052093506,56,114,"solution found",0,1
40,0.4472460001707077,227,268,"solution found",0,1
41,0.15966300666332245,97,205,"solution found",0,1
42,0.2990960031747818,358,117,"solution found",0,1
43,0.16207200288772583,143,140,"solution found",0,1
44,0.1369670033454895,299,54,"solution found",0,1
45,0.43238499760627747,316,186,"solution found",0,1
46,0.31475400924682617,148,268,"solution found",0,1
47,0.23822100460529327,384,71,"solution found",0,1
48,0.019211992621421814,2,103,"solution found",0,1
49,0.8587439954280853,338,338,"solution found",0,1
50,0.15377399325370789,327,53,"solution found",0,1
51,0.1267319917678833,208,73,"solution found",0,1
52,0.03724600374698639,110,36,"solution found",0,1
53,0.33052200078964233,133,318,"solution found",0,1
54,0.5777340084314346,313,232,"solution found",0,1
55,0.459865003824234,254,227,"solution found",0,1
56,0.7592049986124039,167,539,"solution found",0,1
57,0.30383700132369995,133,246,"solution found",0,1
58,0.4012179970741272,19,84,"solution found",0,1
59,0.46125100553035736,128,488,"solution found",0,1
60,1.8425849974155426,578,428,"solution found",0,1
61,1.2354889959096909,332,501,"solution found",0,1
62,0.33646799623966217,207,217,"solution found",0,1
63,0.12175598740577698,243,59,"solution found",0,1
64,1.0892219990491867,316,471,"solution found",0,1
65,1.8860990107059479,498,553,"solution found",0,1
66,0.05831199884414673,273,25,"solution found",0,1
67,2.0416200011968613,618,490,"solution found",0,1
68,1.1788969933986664,398,430,"solution found",0,1
69,0.2024029940366745,376,74,"solution found",0,1
70,0.2789299935102463,121,324,"solution found",0,1
71,0.48413799703121185,226,10,"no satisfying assignment found",10,3
72,0.6726370006799698,612,152,"solution found",0,1
73,2.3147010058164597,692,477,"solution found",0,1
74,0.12415900826454163,289,53,"solution found",0,1
75,0.9465200006961823,600,225,"solution found",0,1
76,2.345912992954254,714,14,"no satisfying assignment found",10,3
77,0.11039300262928009,33,447,"solution found",0,1
78,2.2822239995002747,501,701,"solution found",0,1
79,0.8285109996795654,179,679,"solution found",0,1
80,0.4250590056180954,83,773,"solution found",0,1
81,1.2052220106124878,657,267,"solution found",0,1
82,0.7854319959878922,179,662,"solution found",0,1
83,0.6849830001592636,140,733,"solution found",0,1
84,2.9246329963207245,739,598,"solution found",0,1
85,2.2483740001916885,624,544,"solution found",0,1
86,1.5911779999732971,399,602,"solution found",0,1
87,1.3664880096912384,598,342,"solution found",0,1
88,1.0100370049476624,280,537,"solution found",0,1
89,0.3022509962320328,261,167,"solution found",0,1
90,1.2241729944944382,215,866,"solution found",0,1
91,2.003020003437996,742,252,"solution found",0,1
92,2.5993310064077377,710,558,"solution found",0,1
93,0.8735069930553436,925,131,"solution found",0,1
94,0.1987849920988083,58,459,"solution found",0,1
95,0.9153719991445541,191,709,"solution found",0,1
96,1.5221810042858124,391,585,"solution found",0,1
97,1.2082090079784393,223,797,"solution found",0,1
98,4.444253996014595,918,738,"solution found",0,1
99,1.3577509969472885,235,857,"solution found",0,1
100,0.8249069899320602,122,989,"solution found",0,1
